Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
   Austria,1340.123985,1302.08597,1212.333964,1335.000982,1086.218996,1011.769996,1075.788001,1087.079597,1104.738197,1123.297289,874.7312789,1012.663974,926.0268695,719.572364,995.8237748,772.0661355,612.4706464,846.8156569,907.8868183,885.7158476,902.8543286,1117.345643,1269.019458,1249,,,,,
   Belgium,,,,,,,,,,834.4924752,1133.360564,884.2332676,1484.300964,1579.418571,1396.235438,1158.037756,1537.413085,1103.118346,649.9305163,934.292881,870.6651789,934.4687495,914.636559,1245,,,,,
   Belgium/Luxembourg,1124.109984,708.1569799,696.3729793,789.4369842,958.2149904,1073.014984,1038.637071,886.2637645,1309.406477,,,,,,,,,,,,,,,,,,,,
   Bulgaria,101.7829982,16.7610014,174.8780121,326.9550058,352.7640061,393.4080072,246.4749948,274.9180026,324.1600044,363.0424046,275.0848163,350.399596,340.5686971,397.3146976,364.1907962,430.0139857,420.3825188,364.1899682,444.7178889,409.2759028,395.3579912,359.5197507,375.9412509,419,,,,,
   Croatia,,,134.545004,131.8899998,163.8620011,288.4810046,304.4689979,361.3960026,319.7300002,337.1680041,327.1239955,336.7679964,354.8629948,375.4279963,370.0095474,373.7530593,386.1328524,386.3344636,377.1421853,365.637529,369.8385933,367.1531434,360.3641197,387,,,,,
   Cyprus,30.5709991,44.6969996,39.3039993,77.5160004,45.3690006,42.6779996,51.7409994,46.4959993,46.2059995,53.9413,66.7969972,52.8910969,51.3787973,53.0959969,59.8123959,69.6475053,55.4956657,69.2840491,77.2930951,75.4378673,73.9056481,80.7935252,85.3983201,89,,,,,
   Czech Republic,659.433,525.274,472.1560042,448.3950038,508.7240003,511.4539975,474.9920028,484.5799989,523.4079971,557.6873572,560.2263965,633.0506651,641.5285778,622.6632594,604.6831455,656.4660993,631.0135547,678.9607778,621.412751,525.1680463,469.731678,572.4584702,685.226286,637,,,,,
   Denmark,865.1389994,908.5420009,958.834999,890.5559968,908.4830013,757.796998,895.013997,808.4571944,853.6600935,868.8648934,790.6439887,868.401388,804.5923848,724.0392818,848.8462806,794.5496071,822.4936613,794.2843231,688.3443275,676.2529948,806.4887504,762.2586282,799.8243258,822,,,,,
   Estonia,,,12.9090002,44.1889984,63.1639953,82.8480035,84.2140102,98.8619984,89.5309963,95.2534046,97.3386033,106.9025036,110.8098218,114.3622634,128.524104,144.660116,166.942772,101.1320074,153.8600031,123.4939484,104.7827036,66.6144089,103.9805131,120,,,,,
   Finland,1070.434998,965.5539994,1030.327999,1128.863992,1049.507994,734.6779959,900.6418949,939.4252962,1001.365097,979.0139933,967.2189943,947.4328339,969.5858925,965.8931931,1034.360393,1102.240612,1046.84436,1056.902647,1114.92182,1058.406243,1080.424215,1092.977075,1082.025985,1095,,,,,
   France,5205.172363,5556.988033,5614.452697,5506.780037,5110.872038,5312.681708,5512.406007,5486.910846,5350.690608,5578.436512,5402.080678,5252.819318,5525.715324,5393.679991,4929.117167,4787.358397,5277.58646,5627.754272,5151.566678,5676.749771,5712.89851,5961.952791,5790.294638,5707,,,,,
